"Sizes", "Taglie"
"General Settings", "impostazioni Generali"
"Enable for Frontend", "Attiva per Frontend"
"Unit Sizes", "Dimensione Taglie"
"Attach to Attributes", "Allega per Attributi"
"Popup Settings", "Popup Settings"
"Margin", "Margine"
"Padding", "Riempimento"
"Close Button", "Pulsante di Chiusura"
"Events Effect", "Effetto Eventi"
"Events Speed", "Velocità Eventi"
"Messages", "Messaggi"
"Before Calculate", "Prima del Calcolo"
"Optimal Size", "Taglia Ottimale"
"Another Sizes", "Altra Taglia"
"No Sizes", "No Taglie"
"Notice", "Avviso"
"Calculation Settings", "Impostazioni di Calcolo"
"Non-accurate dimensions", "Dimensioni non Precise"
"Size Tolerance", "Tolleranza Taglia"
"in pixels", "in pixels"
"HTML is allowed", "HTML è Permesso"
"in percents", "in percentuale"

"inches", "inches"
"mm", "mm"
"cm", "cm"
"Fade", "Dissolvenza"
"Elastic", "Elastic"
"None", "Nessuno"
"Slow", "Lento"
"Normal", "Normal"
"Fast", "Veloce"

"Sizes Categories Management", "Gestione Categorie Taglie"
"Sizes Standards Management", "Gestione Taglie Standard"
"Id", "Id"
"Category Code", "Codice Categoria"
"Default Label", "Etichetta Predefinita"
"Sort Order", "Tipo Ordine"
"Actions", "Azioni"
"Standard Name", "Nome Standard"
"Values", "Valuta"
"Add New", "Aggiungi nuovo"

"Men Shirts", "Camicie Uomo "
"Men Jackets", "Giacche Uomo"
"Men Shorts", "Shorts Uomo"
"Men Jeans", "Jeans Uomo"
"Men Pants", "Pantalone Uomo"
"Women Shirts", "Camicie Donna"
"Women Jackets", "Giacche Donna"
"Women Dresses", "Vestiti Donna"
"Women Skirts", "Gonne Donna"
"Women Jeans", "Jeans Donna"
"Women Shorts", "Shorts Donna"
"Women Pants", "Pantaloni Donna"

"Chest", "Torace"
"Waist", "Vita"
"Inseam", "Cavallo"
"Hips", "Hips"
"Cup Size", "Misura del Capo"
"Height", "Altezza"
"Weight", "Peso"
"Length", "Lunghezza"
"Neck", "Collo"

"All values are in", "Tutti i valori sono in"
"Calculate your size", "Calcola la tua Taglia"
" may be a bit bigger in the ", " può essere un pò più grande nel "
" may be a bit smaller in the ", " può essere un pò più piccolo nel "